f_property_type,f_room_type,f_room_type2,usd_price_day,p_host_response_rate,n_accommodates,n_bedrooms,n_beds,n_review_scores_rating,n_number_of_reviews,n_reviews_per_month,n_minimum_nights,n_host_total_listings_count,n_days_since,d_dedicatedworkspace,d_washer,d_microwave,d_smokealarm,d_essentials,d_dryer,d_hotwater,d_hangers,d_iron,d_airconditioning,d_hairdryer,d_bedlinens,d_lockbox,d_breakfast,d_cookingbasics,d_dishwasher,d_fireextinguisher,d_privateentrance,d_keypad,d_ethernetconnection,d_bathroomessentials,d_bedroomcomforts,d_pool,d_beachessentials,d_windowguards,d_highchair,d_outletcovers,d_babybath,d_bakingsheet,d_crib,d_elevator,d_lakeaccess,d_showergel,d_smartlock,d_gym,d_ricemaker,d_babysitterrecommendations,d_indoorfireplace,d_evcharger,d_fireplaceguards,d_gameconsole,d_buildingstaff,d_beachfront,d_bodysoap,d_ceilingfan,d_freezer,d_portablefans,d_petsallowed,d_waterfront,d_laundromatnearby,d_smokingallowed,d_outdoorshower,d_outdoorfurniture,d_diningtable,d_wineglasses,d_changingtable,d_babymonitor,d_portableheater,d_minifridge,d_cleaningproducts,d_soundsystem,d_recordplayer,d_clothingstorage,d_piano,d_trashcompactor,d_pooltoys,d_boardgames,d_safe,d_bidet,d_mosquitonet,d_firepit,d_refrigerator_agg,d_tv_agg,d_stove_agg,d_shampoo_agg,d_conditioner_agg,d_wifi_agg,d_tub_agg,d_oven_agg,d_kitchen_agg,d_heating_agg,d_coffee_maker,d_bread_maker,d_barbecue_tool,d_host_is_superhost,d_host_has_profile_pic,d_host_identity_verified,d_has_availability,d_instant_bookable,price,id,neighbourhood_cleansed,room_type,property_type
Entire_apt,Entire home/apt,Entire/Apt,50,NA,2,1,1,NA,0,NA,30,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,50,2864,Bellflower,Entire home/apt,Entire_apt
Room_apt,Private room,Private,74,NA,2,1,2,99,45,0.34,30,1,4001,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0,74,10760,Mid-Wilshire,Private room,Room_apt
Entire_apt,Entire home/apt,Entire/Apt,155,NA,5,2,3,98,10,0.34,30,1,882,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,155,12320,Mid-Wilshire,Entire home/apt,Entire_apt
Entire_apt,Entire home/apt,Entire/Apt,280,100,2,1,1,99,27,0.23,30,12,3549,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,280,14098,Hollywood Hills,Entire home/apt,Entire_apt
Room_apt,Private room,Private,90,NA,3,1,2,98,186,1.46,30,1,3817,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,90,31237,Los Feliz,Private room,Room_apt
Room_apt,Private room,Private,48,100,2,1,2,86,12,0.1,30,1,3456,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,1,0,48,40667,Mid-City,Private room,Room_apt
Entire_apt,Entire home/apt,Entire/Apt,100,100,6,1,2,98,181,1.46,31,1,3721,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,100,51546,Hollywood Hills,Entire home/apt,Entire_apt
Entire_apt,Entire home/apt,Entire/Apt,150,100,6,1,2,98,110,0.92,3,1,3591,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,0,150,52871,Beverly Hills,Entire home/apt,Entire_apt
Entire_apt,Entire home/apt,Entire/Apt,135,NA,2,1,1,96,142,1.17,31,1,3653,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1,0,135,53945,Carthay,Entire home/apt,Entire_apt
Entire_apt,Entire home/apt,Entire/Apt,85,100,2,1,1,96,38,0.33,31,5,3430,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,85,67672,Santa Monica,Entire home/apt,Entire_apt
Entire_apt,Entire home/apt,Entire/Apt,60,50,2,1,0,98,19,0.16,30,1,3476,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1,0,60,94178,Echo Park,Entire home/apt,Entire_apt
Entire_apt,Entire home/apt,Entire/Apt,60,94,4,1,2,84,103,0.87,30,1,3542,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,60,95242,Fairfax,Entire home/apt,Entire_apt
Room_apt,Private room,Private,75,NA,2,1,1,93,15,0.22,30,2,2091,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,75,99962,Hollywood Hills,Private room,Room_apt
Entire_apt,Entire home/apt,Entire/Apt,100,100,2,NA,1,97,218,1.86,30,3,3520,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,100,101702,Echo Park,Entire home/apt,Entire_apt
Entire_apt,Entire home/apt,Entire/Apt,104,100,2,2,2,97,49,0.42,3,1,3500,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,104,124199,Beverly Hills,Entire home/apt,Entire_apt
