"open","high","low","close","volume","dates","CloseValueAboveMean","Year"
84.900002,86.139999,84.342003,86.052002,47660500,84.900002,"False","84.9"
88.099998,90.800003,87.384003,88.601997,88892500,88.099998,"False","88.0"
88.094002,90.311996,88,90.307999,50665000,88.094002,"False","88.0"
92.279999,94.325996,90.671997,93.811996,89410500,92.279999,"False","92.2"
94.739998,99.697998,93.646004,98.428001,155721500,94.739998,"False","94.7"
99.419998,99.760002,94.573997,96.267998,142202000,99.419998,"False","99.4"
96.358002,96.987999,94.739998,95.629997,64797500,96.358002,"False","96.3"
98.699997,105.125999,98.400002,104.972,132588000,98.699997,"False","98.6"
108.851997,109.482002,104.980003,107.584,144981000,108.851997,"False","108."
105.952003,107.568001,103.358002,103.699997,86844000,105.952003,"False","105."
98.75,102.891998,98.433998,102.697998,108683500,98.75,"False","98.7"
101.522003,103.134003,100.632004,102.099998,68145500,101.522003,"False","101."
106.050003,109.716003,105.681999,109.440002,89017500,106.050003,"False","106."
114.377998,118.900002,111.82,113.912003,156845000,114.377998,"False","114."
112.849998,116.400002,111.120003,114.440002,98255000,112.849998,"False","112."
114.125999,114.772003,110.851997,112.963997,71768000,114.125999,"False","114."
108.398003,112.888,107.856003,111.603996,68040500,108.398003,"False","108."
113.697998,115.362,111.615997,113.379997,58942500,113.697998,"False","113."
115.138,117.959999,113.486,116.197998,89007500,115.138,"False","115."
126.484001,130.175995,123.599998,128.162003,145028500,126.484001,"False","126."
128,130.600006,126.503998,130.113998,78596500,128,"False","128"
134.738007,157.227997,134.703995,156,236167500,134.738007,"False","134."
176.591995,193.798004,166.776001,177.412003,304694000,176.591995,"False","176."
164.651993,169.195999,140.822006,146.940002,242119000,164.651993,"False","164."
139.983994,159.166,137.399994,149.792007,199404000,139.983994,"False","139."
146.110001,153.949997,146,149.613998,85317500,146.110001,"False","146."
160,163.998001,150.479996,154.255997,123446000,160,"False","160"
153.757996,156.701996,151.600006,154.876007,58487500,153.757996,"False","153."
155.574005,157.949997,152.673996,153.457993,60112500,155.574005,"False","155."
148.367996,163.600006,147,160.800003,131446500,148.367996,"False","148."
157.444,162.593994,157.100006,160.005997,78468500,157.444,"False","157."
168.320007,172,166.472,171.679993,81908500,168.320007,"False","168."
184.699997,188.955994,180.203995,183.483994,127115000,184.699997,"False","184."
182.389999,182.399994,171.988007,179.882004,88174500,182.389999,"False","182."
181.395996,182.612,176.089996,180.199997,71574000,181.395996,"False","181."
167.800003,172.699997,164.440002,166.757996,75961000,167.800003,"False","167."
169.800003,171.320007,157.399994,159.981995,86452500,169.800003,"False","169."
156.5,162.662003,155.222,155.759995,70427500,156.5,"False","156."
146,147.953995,133.800003,135.800003,121386000,146,"False","146"
125.940002,138.104004,122.304001,133.598007,122821000,125.940002,"False","125."
142.251999,148.738007,137.334,148.723999,100975000,142.251999,"False","142."
161,161.395996,143.222,149.102005,128920000,161,"False","161"
152.792007,153.304001,144.945999,149.899994,75245000,152.792007,"False","152."
144.753998,149.149994,143.613998,144.908005,54263500,144.753998,"False","144."
138,141.399994,136.854004,140.695999,63314500,138,"False","138"
121.078003,132.600006,121,121.599998,85368500,121.078003,"False","121."
131.886002,133.600006,121.599998,129.065994,77972000,131.886002,"False","131."
128.039993,130.716003,122.599998,126.846001,66612500,128.039993,"False","128."
116.178001,118.900002,109.25,112.110001,94545500,116.178001,"False","116."
119,121.514,100.400002,109.323997,113201500,119,"False","119"
93.900002,98.973999,88.433998,89.014,102447500,93.900002,"False","93.9"
88.001999,94.370003,79.199997,86.040001,119973000,88.001999,"False","88.0"
77.800003,80.972,70.101997,72.244003,118931000,77.800003,"False","77.8"
74.940002,90.400002,71.692001,85.528,150977500,74.940002,"False","74.9"
87.639999,95.400002,85.157997,85.505997,141427500,87.639999,"False","87.6"
86.720001,88.400002,82.099998,86.858002,82272500,86.720001,"False","86.7"
95.459999,102.737999,94.800003,101,114476000,95.459999,"False","95.4"
109.050003,111.400002,102.222,107.849998,106113500,109.050003,"False","109."
109.477997,112,102.449997,105.632004,86903500,109.477997,"False","109."
101,105.160004,98.806,102.872002,71887000,101,"False","101"
102.052002,103.330002,98.246002,100.426003,59990500,102.052002,"False","102."
100.25,108.592003,99.400002,104.800003,88857500,100.25,"False","100."
100.800003,102.790001,95.019997,96.311996,66766000,100.800003,"False","100."
96.206001,98.851997,89.279999,90.893997,99292000,96.206001,"False","96.2"
101.900002,103.098,93.678001,96.001999,22562100,101.900002,"False","101."
102.239998,104.199997,99.592003,103.248001,14901800,102.239998,"False","102."
109,113,106.468002,109.089996,17919800,109,"False","109"
110.839996,111.442001,106.666,109.767998,12656000,110.839996,"False","110."
112.417999,115.036003,111.421997,114.599998,13650000,112.417999,"False","112."
118.031998,130.399994,116.106003,130.190002,22475400,118.031998,"False","118."
139.794006,148.376007,138.485992,141.977997,30576500,139.794006,"False","139."
148.399994,150.626007,142,145.966003,23577000,148.399994,"False","148."
143.388,151.889999,141.343994,149.042007,20657900,143.388,"False","143."
154.455994,154.990005,149.531998,150.778,13128200,154.455994,"False","154."
