"","country","GDP_per","CO2_emission","Population"
"1","United Arab Emirates",65218.7922731195,21.0263924904727,9262900
"2","Afghanistan",2212.75089885175,0.262555710891417,34413603
"3","Antigua and Barbuda",18595.0849042657,5.83954641643332,93566
"4","Albania",12125.9314807437,1.60264803417777,2880703
"5","Armenia",11321.3557593842,1.64200409290141,2925553
"6","Angola",8036.41409222015,1.24024546214599,27884381
"7","Argentina",23934.0962820711,4.6640107478523,43131966
"8","Austria",53164.8014030839,7.08859223258845,8642699
"9","Australia",48020.2541377547,15.3397835782213,23815995
"10","Aruba",37276.0804173621,8.61037367861148,104341
"11","Azerbaijan",14853.9105525729,3.89640608617728,9649341
"12","Bosnia and Herzegovina",12793.5416111631,5.41491199089276,3429361
"13","Barbados",15382.9274290296,4.39540312066283,285324
"14","Bangladesh",3700.11028454462,0.518850858828864,156256276
"15","Belgium",49491.6208733935,8.81183580629608,11274196
"16","Burkina Faso",1934.75449608592,0.183849877287497,18110624
"17","Bulgaria",19598.8597903392,6.23257956160714,7177991
"18","Bahrain",48304.0669238186,23.977086432856,1371851
"19","Burundi",825.205985575849,0.0397016544242488,10160030
"20","Benin",2945.97300620254,0.57349144549824,10575952
"21","Brunei Darussalam",63148.5490356698,17.0487434533522,414907
"22","Bolivia",7984.41331117096,1.84670253998949,10869730
"23","Brazil",15059.2343677166,2.46678804837845,204471769
"24","Bahamas, The",35837.3462624269,5.38967841242524,374206
"25","Bhutan",10086.1975071692,1.46604229291802,727876
"26","Botswana",16714.3537396502,2.56084595957214,2120716
"27","Belarus",18307.5196678406,6.14141088532982,9489616
"28","Belize",7259.28758504138,1.60524529483311,360933
"29","Canada",47770.4156124365,15.3889503062328,35702908
"30","Congo, Dem. Rep.",1065.24240955909,0.0372257193904917,76244544
"31","Central African Republic",852.749426426479,0.0652902071366096,4493170
"32","Congo, Rep.",3802.37599469408,0.665272611017701,4856095
"33","Switzerland",66161.7764760045,4.30703579012643,8282396
"34","Cote d'Ivoire",4417.15120275926,0.471910596606591,23226143
"35","Chile",23633.6638371824,4.63258565848197,17969353
"36","Cameroon",3458.69390039658,0.340283662787024,23298368
"37","China",12691.9435827488,7.39852456644448,1371220000
"38","Colombia",14237.5838137359,1.98039913875788,47520667
"39","Costa Rica",18024.4919696438,1.54991476553095,4847804
"40","Cabo Verde",6266.84595028906,0.94340467619387,524743
