Name,Listing id,Price,Link,Year,Age
Used 2018 Lexus RX 350L FWD,570975097,35781,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=570975097,2018,3
Used 2017 Lexus IS 200t,563941579,20997,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=563941579,2017,4
Used 2015 Lexus CT 200h,570960319,17999,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=570960319,2015,6
Used 2019 Lexus RX 350 FWD,570825004,38995,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=570825004,2019,2
Used 2007 Lexus LS 460,564290878,5995,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=564290878,2007,14
Used 2013 Lexus LS 460,571715699,19999,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=571715699,2013,8
Used 2009 Lexus LS 460 AWD,566895106,6795,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=566895106,2009,12
Used 2018 Lexus NX 300 FWD,570888617,26500,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=570888617,2018,3
Used 2016 Lexus IS 200t,568666117,23463,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=568666117,2016,5
Used 2017 Lexus GS 350,566889445,32067,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=566889445,2017,4
Used 2020 Lexus NX 300 FWD w/ Comfort Package,559327598,33491,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=559327598,2020,1
Used 2020 Lexus NX 300 FWD,568454295,34987,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=568454295,2020,1
Used 2018 Lexus IS 300,563778310,31991,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=563778310,2018,3
Used 2017 Lexus ES 350,563778307,28991,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=563778307,2017,4
Used 2016 Lexus CT 200h,565377890,19469,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=565377890,2016,5
Used 2015 Lexus GS 350,556094940,23450,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=556094940,2015,6
Used 2016 Lexus NX 200t F Sport,563283242,26991,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=563283242,2016,5
Used 2017 Lexus RX 350 FWD,563778312,29991,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=563778312,2017,4
Used 2019 Lexus IS 350 F Sport,566589289,37799,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=566589289,2019,2
Used 2010 Lexus RX 350 2WD,568575009,9996,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=568575009,2010,11
Used 2017 Lexus RX 350 FWD,569874059,28590,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=569874059,2017,4
Used 2015 Lexus IS 250,566914455,15500,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=566914455,2015,6
Used 2017 Lexus LX 570 4WD,568824746,57400,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=568824746,2017,4
Used 2017 Lexus GX 460,571755147,35994,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=571755147,2017,4
Used 2013 Lexus GX 460 Premium,570891461,23500,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=570891461,2013,8
Used 2010 Lexus IS 350C,571868297,20990,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=571868297,2010,11
Used 2015 Lexus GS 350,570241726,21990,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=570241726,2015,6
Used 2016 Lexus GX 460,569476276,26950,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=569476276,2016,5
Used 2015 Lexus IS 250,564094115,14862,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=564094115,2015,6
Used 2017 Lexus GX 460,563753595,39500,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=563753595,2017,4
Used 2017 Lexus NX 200t FWD,563456136,25500,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=563456136,2017,4
Used 2015 Lexus RX 350 AWD,557850857,24994,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=557850857,2015,6
Used 2015 Lexus IS 250,571529894,17499,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=571529894,2015,6
Used 2016 Lexus ES 350,565377889,26998,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=565377889,2016,5
Used 2015 Lexus NX 200t AWD,564311481,23527,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=564311481,2015,6
Used 2016 Lexus ES 350 w/ Luxury Package,568518068,25950,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=568518068,2016,5
Used 2017 Lexus RX 350 F Sport,564474640,38985,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=564474640,2017,4
