Name,Listing id,Price,Link
Used 2020 Lexus IS 300,573043719,"31,980",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=573043719
Used 2017 Lexus RC F,569756807,"43,495",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=569756807
Used 2011 Lexus RX 350 2WD,573702338,"14,995",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=573702338
Used 2015 Lexus GS 350,566164114,"19,000",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=566164114
Used 2017 Lexus IS 200t,570210685,"19,891",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=570210685
Used 2019 Lexus ES 350,565743767,"32,000",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=565743767
Used 2007 Lexus ES 350,573512206,"6,477",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=573512206
Used 2017 Lexus RX 350 FWD,573499633,"32,135",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=573499633
Used 2018 Lexus RX 350 AWD,573087682,"32,000",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=573087682
Used 2016 Lexus NX 200t FWD,564290613,"18,991",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=564290613
Used 2017 Lexus ES 350,571716082,"21,999",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=571716082
Used 2016 Lexus NX 200t AWD,572076390,"23,989",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=572076390
Used 2017 Lexus NX 200t FWD,573238941,"24,299",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=573238941
Used 2019 Lexus ES 350,564403792,"31,438",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=564403792
Used 2017 Lexus ES 350,573475224,"22,589",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=573475224
Used 2013 Lexus ES 300h,568670944,"15,500",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=568670944
Used 2016 Lexus CT 200h,570762308,"16,837",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=570762308
Used 2017 Lexus RX 350 AWD F Sport,570597658,"37,724",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=570597658
Used 2000 Lexus LX 470 4WD,573731622,"24,900",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=573731622
Used 2018 Lexus GX 460,573751991,"39,997",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=573751991
Used 2010 Lexus ES 350,566382557,"9,990",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=566382557
Used 2012 Lexus CT 200h,562920896,"9,995",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=562920896
Used 2017 Lexus RX 350 AWD,565398926,"34,955",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=565398926
Used 2015 Lexus IS 250 AWD,569860909,"24,989",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=569860909
Used 2018 Lexus IS 300,566483341,"25,459",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=566483341
Used 1999 Lexus LX 470 4WD,569308031,"8,999",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=569308031
Used 2010 Lexus RX 350 AWD,569392039,"10,995",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=569392039
Used 2014 Lexus GS 350 AWD,567841436,"18,971",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=567841436
Used 2017 Lexus IS 300 AWD,562757618,"26,987",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=562757618
Used 2015 Lexus NX 200t FWD,463276964,"23,990",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=463276964
Used 2017 Lexus ES 350,574290651,"24,990",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574290651
Used 2017 Lexus IS 200t,561074410,"25,495",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=561074410
Used 2017 Lexus GS 350,574213164,"28,789",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574213164
Used 2016 Lexus IS 300 AWD,568851181,"23,995",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=568851181
Used 2019 Lexus GX 460,567858893,"49,999",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=567858893
Used 2018 Lexus IS 300,570950921,"29,982",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=570950921
Used 2018 Lexus IS 300,573384655,"23,789",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=573384655
Used 2018 Lexus RX 350 AWD,572109054,"39,990",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=572109054
Used 2016 Lexus RX 350 AWD,572740420,"28,795",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=572740420
Used 2019 Lexus GX 460,568661154,"46,777",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=568661154
Used 2017 Lexus IS 200t,572401076,"23,880",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=572401076
Used 2017 Lexus GX 460 Premium,574459031,"39,600",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574459031
Used 2012 Lexus ES 350,566280494,NA,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=566280494
Used 2015 Lexus IS 250 AWD,570563627,"17,995",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=570563627
Used 2011 Lexus RX 350 AWD,569312238,"11,675",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=569312238
Used 2017 Lexus CT 200h,556513089,"16,699",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=556513089
Used 2015 Lexus RX 350 FWD,573133603,"23,925",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=573133603
Used 2017 Lexus RX 350 AWD,573987974,"34,800",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=573987974
Used 2017 Lexus NX 200t AWD,574776553,"27,480",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574776553
Used 2015 Lexus GS 350,574901118,"28,595",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574901118
Certified 2018 Lexus NX 300 AWD,574839801,"29,999",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574839801
Used 2006 Lexus IS 250 AWD,574784962,NA,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574784962
Used 2018 Lexus NX 300 FWD,574771139,"28,312",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574771139
Used 2012 Lexus CT 200h,567004343,"11,419",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=567004343
Used 2015 Lexus ES 350,573211023,NA,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=573211023
Used 2017 Lexus NX 200t FWD,572276981,"24,429",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=572276981
Used 2018 Lexus NX 300 FWD,574832637,"25,589",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574832637
Used 2015 Lexus RX 450h AWD,573387587,"22,950",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=573387587
Used 2017 Lexus ES 350,574595492,"28,000",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574595492
Used 2017 Lexus IS 200t,573669527,"27,989",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=573669527
Used 2016 Lexus GX 460,574204682,"28,991",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574204682
Used 2009 Lexus GS 350,574274862,"8,997",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574274862
Used 2014 Lexus IS 250,566163940,"18,998",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=566163940
Used 2018 Lexus RX 350 AWD,574700456,"38,490",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574700456
Used 2017 Lexus LX 570 4WD,567870656,"59,992",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=567870656
Used 2013 Lexus RX 450h AWD,573781122,"14,991",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=573781122
Used 2009 Lexus IS 250,573482943,"10,495",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=573482943
Used 2019 Lexus RX 350 F Sport,574523087,"39,488",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574523087
Used 2015 Lexus IS 250 AWD,574644868,"19,448",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574644868
Used 2018 Lexus RX 350 AWD,574826304,"37,610",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574826304
Used 2019 Lexus NX 300 FWD,574729654,"29,551",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574729654
Used 2019 Lexus GS 350,574692607,"43,500",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574692607
Used 2017 Lexus RC 350,574718825,"34,490",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574718825
Used 2017 Lexus RX 350 F Sport,574815771,"38,999",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574815771
Used 2004 Lexus RX 330,574818452,"9,990",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574818452
Used 2012 Lexus CT 200h,574832755,"8,800",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574832755
Used 2013 Lexus ES 350,574826717,"16,500",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574826717
Used 2018 Lexus RX 450h AWD,574876683,"43,600",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574876683
Used 2018 Lexus LC 500 Coupe,574860267,"72,500",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574860267
Used 2018 Lexus ES 350,574860269,"23,500",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574860269
Used 2020 Lexus NX 300 FWD w/ Premium Package,572173560,"40,400",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=572173560
Used 2015 Lexus NX 200t AWD,573943974,"21,995",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=573943974
Used 2010 Lexus IS 250 AWD,574905149,"13,950",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574905149
Used 2017 Lexus RX 350 FWD,574732908,"33,990",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574732908
Certified 2018 Lexus LC 500 Coupe,572184079,"73,800",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=572184079
Used 2010 Lexus IS 250C,573959088,"13,990",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=573959088
Used 2014 Lexus RX 350 AWD,574579392,"21,960",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574579392
Used 2008 Lexus RX 350 AWD,571040429,"12,495",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=571040429
Used 2020 Lexus RX 350L FWD w/ Premium Package,574771644,"44,999",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574771644
Used 2017 Lexus RX 350 AWD,574793083,"29,980",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574793083
Used 2018 Lexus NX 300h AWD,574762172,"32,995",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574762172
Used 2017 Lexus NX 200t FWD,573237403,"25,981",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=573237403
